Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
,,1,1,1,404.1,810.1,313.33,4.594,4.33306,62.5368,71.8235,96.2506,113.908,0,49.95,0.971255,13,1,1.89059,76.2996,56.65,134.097,136.719,54.7554,40.3927,0,1.01398,41.77,0.843477,38.05,0.961936
,,1,1,1,404.1,810.1,313.33,4.58,4.10221,59.0246,67.5831,100.27,118.01,0,36.96,0.960893,8,0,1.87609,117.794,25.4,86.1902,158.647,138.748,149.579,0,1.00124,10.42,0.992205,67.09,0.936453
,,1,1,1,404.1,810.1,313.33,4.308,4.0153,54.3429,58.5273,104.232,122.025,0,199.27,0.933037,45,1,1.97182,131.338,76.1021,76.6129,95.2681,158.12,158.592,0,1.02863,10.62,0.997054,41.16,0.890552
,,1,1,1,404.1,810.1,313.33,4.214,3.31237,43.8514,46.1974,104.904,125.338,1,219.77,0.906158,47,1,1.95155,145.497,81.6922,98.7271,120.936,12.6278,17.1333,0,1.0113,123.16,0.906414,74.12,0.891176
,,1,1,1,404.1,810.1,313.33,4.12,3.3231,43.0121,44.3025,105.671,128.661,1,17.96,0.996428,4,0,1.88371,56.6402,28.0396,146.215,136.141,89.219,108.857,0,1.00934,3.03,1,15.64,0.991644
,,1,1,1,404.1,810.1,313.33,3.87,5.59376,68.0088,65.7985,107.894,134.255,1,135.24,0.909232,33,0,1.87871,73.7312,53.7563,132.135,138.924,64.7799,51.2879,0.01,1.00247,189.13,0.947956,518.49,0.961737
,,1,1,1,404.1,810.1,313.33,3.494,4.08625,44.8536,39.1796,111.075,138.341,1,288.77,0.906498,68,0.333333,1.9159,98.3977,59.6174,119.265,129.393,121.617,167.97,0.01,1.00706,189.69,0.902005,92.2,0.971934
,,1,1,1,404.1,810.1,313.33,3.166,4.0172,39.9562,31.6253,114.752,142.358,1,103.64,0.96182,20,1,2.02805,105.829,101.045,117.421,94.6249,145.558,169.498,-0.01,1.01503,27.21,0.999009,41.33,0.943174
,,1,1,1,404.1,810.1,313.33,3.066,4.35284,41.9271,32.1371,118.717,146.711,1,50.11,0.991062,9,0,1.75712,78.6088,65.0915,124.709,134.325,74.1089,15.0078,-0.01,1.0045,91.85,0.8273,9.66,0.987907
,,1,1,1,404.1,810.1,313.33,3.136,4.20289,41.407,32.4631,122.518,150.914,1,45.17,0.952567,13,0,2.05969,106.182,152.3,121.682,81.8549,132.423,168.684,-0.01,1.01762,39.68,0.882315,14.99,0.956469
